epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3221.92,1.42573,0.97653,0.92483,0.86209,0.75961,0.80162,0.45499,1.28131,0.61445,0.89644,0.00333302,0.00333302,0.00333302
2,6401.83,1.35475,0.70841,0.90321,0.89974,0.78919,0.82992,0.49457,1.21627,0.57332,0.88639,0.00622638,0.00622638,0.00622638
3,9558.54,1.33964,0.6879,0.89972,0.89816,0.79518,0.83337,0.50587,1.20018,0.55986,0.88245,0.00867973,0.00867973,0.00867973
4,12701.8,1.30454,0.65639,0.89443,0.90411,0.80745,0.84247,0.5223,1.16826,0.5277,0.87542,0.00802,0.00802,0.00802
5,15850.5,1.25678,0.61521,0.88551,0.91176,0.81386,0.84843,0.53804,1.14389,0.50818,0.86973,0.00736,0.00736,0.00736
6,19087.5,1.21715,0.58525,0.88868,0.90801,0.81655,0.8483,0.54007,1.1366,0.50171,0.86883,0.0067,0.0067,0.0067
7,22251.9,1.18454,0.55833,0.88247,0.91241,0.82215,0.85293,0.5519,1.11217,0.48448,0.86357,0.00604,0.00604,0.00604
8,25349.9,1.15661,0.53616,0.87736,0.91201,0.82674,0.85545,0.56266,1.09061,0.47143,0.85953,0.00538,0.00538,0.00538
9,28442.9,1.13487,0.52053,0.87286,0.91573,0.83092,0.85915,0.56941,1.07866,0.46156,0.85703,0.00472,0.00472,0.00472
10,31537.9,1.11302,0.50529,0.86853,0.9165,0.8328,0.86114,0.57676,1.0641,0.45205,0.85434,0.00406,0.00406,0.00406
11,34626.6,1.09351,0.4935,0.86454,0.91616,0.83555,0.86332,0.5819,1.05201,0.44488,0.85201,0.0034,0.0034,0.0034
12,37716.3,1.0735,0.47914,0.86143,0.91841,0.83752,0.86465,0.58817,1.03793,0.43788,0.84937,0.00274,0.00274,0.00274
13,40804.4,1.05323,0.46689,0.85765,0.92152,0.83806,0.86619,0.59242,1.02775,0.43233,0.84758,0.00208,0.00208,0.00208
14,43896,1.03262,0.45431,0.85438,0.92269,0.83856,0.86732,0.59601,1.01821,0.42768,0.8458,0.00142,0.00142,0.00142
15,46986.6,1.01387,0.4435,0.85081,0.92207,0.83924,0.86764,0.59851,1.01175,0.42471,0.84459,0.00076,0.00076,0.00076
